duration,distance,rpm,power,average_distance,speed,incline,resistance,heart_rate,total_steps
10,80.47,101,105,2542.76,27.2,0,5,128,1441
10,80.47,100,104,2623.22,27.2,0,5,64,1480
10,80.47,101,105,2703.69,27.2,0,5,116,1520
10,64.37,101,105,2768.06,27.2,0,5,129,1560
10,80.47,101,105,2848.53,27.2,0,5,130,1600
10,80.47,103,107,2929,27.36,0,5,128,1640
10,64.37,102,106,3009.47,27.36,0,5,78,1681
10,80.47,101,105,3073.84,27.36,0,5,92,1721
10,80.47,102,106,3154.31,27.36,0,5,91,1761
10,80.47,102,106,3234.77,27.36,0,5,129,1802
10,64.37,102,106,3299.15,27.36,0,5,131,1842
10,80.47,102,106,3379.61,27.36,0,5,132,1883
10,80.47,103,107,3460.08,27.52,0,5,130,1923
10,64.37,103,107,3540.55,27.52,0,5,130,1964
10,80.47,103,107,3604.92,27.52,0,5,132,2005
10,80.47,103,108,3685.39,27.52,0,5,131,2046
10,80.47,106,99,3765.86,26.55,0,4,130,2087
10,64.37,105,97,3830.23,26.39,0,4,131,2129
10,80.47,103,95,3910.7,26.23,0,4,65,2170
10,64.37,105,97,3975.07,26.39,0,4,130,2211
10,80.47,103,95,4055.54,26.23,0,4,123,2253
10,64.37,103,95,4119.91,26.23,0,4,134,2294
10,80.47,104,96,4200.38,26.23,0,4,133,2335
10,64.37,107,131,4280.84,29.45,0,7,66,2376
10,96.56,106,147,4361.31,30.9,0,8,136,2418
10,80.47,105,156,4441.78,31.54,0,9,138,2460
10,80.47,105,157,4538.34,31.7,0,9,140,2502
10,96.56,104,156,4618.81,31.54,0,9,85,2543
10,80.47,103,155,4715.37,31.54,0,9,57,2585
10,96.56,102,154,4795.83,31.38,0,9,53,2625
10,80.47,103,155,4892.39,31.54,0,9,120,2666
10,96.56,104,156,4972.86,31.54,0,9,114,2707
10,80.47,104,157,5069.42,31.54,0,9,130,2748
10,96.56,104,157,5149.89,31.54,0,9,150,2789
10,80.47,103,155,5246.45,31.54,0,9,0,2831
10,80.47,105,157,5326.92,31.7,0,9,118,2872
10,96.56,105,157,5407.38,31.7,0,9,150,2913
10,80.47,104,156,5503.94,31.54,0,9,148,2955
10,96.56,105,158,5584.41,31.7,0,9,118,2996
10,80.47,104,157,5680.97,31.54,0,9,148,3037
10,96.56,103,155,5761.44,31.54,0,9,149,3079
10,80.47,104,156,5858,31.54,0,9,149,3119
10,96.56,107,160,5938.46,31.7,0,9,133,3161
10,80.47,107,160,6035.02,31.86,0,9,60,3203
10,96.56,107,160,6115.49,31.86,0,9,151,3245
10,80.47,104,156,6212.05,31.54,0,9,149,3288
10,96.56,107,160,6292.52,31.86,0,9,151,3329
10,80.47,107,160,6389.08,31.86,0,9,153,3372
10,96.56,106,159,6469.55,31.7,0,9,154,3414
10,80.47,106,159,6566.11,31.7,0,9,154,3456
10,96.56,108,160,6646.57,31.86,0,9,15,3498
10,80.47,108,149,6743.13,31.06,0,8,152,3541
10,80.47,106,147,6823.6,30.9,0,8,155,3584
10,96.56,107,148,6904.07,30.9,0,8,155,3625
10,80.47,108,149,7000.63,31.06,0,8,154,3668
10,80.47,109,150,7081.1,31.22,0,8,156,3711
10,96.56,109,151,7161.56,31.22,0,8,155,3754
10,80.47,109,150,7258.12,31.22,0,8,156,3797
10,96.56,107,148,7338.59,30.9,0,8,157,3841
10,80.47,108,149,7419.06,31.06,0,8,78,3883
10,80.47,106,147,7515.62,30.9,0,8,154,3926
10,96.56,109,150,7596.08,31.22,0,8,151,3968
10,80.47,110,152,7676.55,31.22,0,8,155,4011
10,80.47,108,149,7773.11,31.06,0,8,156,4055
10,96.56,107,148,7853.58,30.9,0,8,158,4097
10,80.47,109,150,7950.14,31.06,0,8,111,4140
10,80.47,106,147,8030.61,30.9,0,8,158,4183
10,96.56,106,147,8111.07,30.9,0,8,110,4225
10,80.47,110,151,8207.63,31.22,0,8,109,4267
10,80.47,110,152,8288.1,31.22,0,8,156,4310
10,96.56,109,150,8368.57,31.06,0,8,157,4354
10,80.47,108,149,8465.13,31.06,0,8,156,4397
10,96.56,111,153,8545.6,31.38,0,8,155,4440
10,80.47,111,153,8642.16,31.38,0,8,93,4484
10,80.47,108,149,8722.62,31.06,0,8,153,4528
10,96.56,107,148,8803.09,30.9,0,8,78,4571
10,80.47,108,149,8899.65,31.06,0,8,64,4613
10,80.47,108,149,8980.12,31.06,0,8,158,4656
10,96.56,110,151,9060.58,31.22,0,8,160,4699
10,80.47,113,156,9157.14,31.54,0,8,127,4743
10,96.56,111,153,9237.61,31.38,0,8,15,4788
10,80.47,106,147,9334.17,30.9,0,8,156,4831
10,80.47,106,148,9414.64,30.9,0,8,158,4874
10,96.56,106,159,9495.11,31.7,0,9,158,4916
10,80.47,109,163,9591.67,32.03,0,9,79,4958
10,96.56,109,153,9672.13,31.38,0,8,32,5001
10,80.47,105,158,9768.69,31.7,0,9,160,5044
10,96.56,109,154,9849.16,31.38,0,8,129,5086
10,80.47,107,148,9945.72,31.06,0,8,0,5129
10,80.47,107,148,10026.19,30.9,0,8,160,5172
10,96.56,108,149,10106.66,31.06,0,8,161,5214
10,80.47,107,148,10203.22,31.06,0,8,161,5257
10,80.47,106,147,10283.68,30.9,0,8,160,5299
10,96.56,106,147,10364.15,30.9,0,8,47,5341
10,80.47,112,154,10460.71,31.38,0,8,159,5383
10,80.47,109,150,10541.18,31.22,0,8,160,5428
10,96.56,113,155,10621.64,31.54,0,8,159,5471
10,80.47,112,153,10718.2,31.38,0,8,160,5516
10,96.56,112,154,10798.67,31.38,0,8,97,5560
10,80.47,111,152,10895.23,31.38,0,8,111,5604
10,96.56,110,152,10975.7,31.22,0,8,161,5648
10,80.47,108,150,11056.17,31.06,0,8,160,5692
10,80.47,108,149,11152.73,31.06,0,8,160,5734
10,96.56,110,152,11233.19,31.22,0,8,48,5777
10,80.47,108,149,11329.75,31.06,0,8,160,5821
10,80.47,106,147,11410.22,30.9,0,8,158,5864
10,96.56,108,149,11490.69,31.06,0,8,159,5906
10,80.47,110,151,11587.25,31.22,0,8,161,5949
10,80.47,109,151,11667.72,31.22,0,8,162,5992
10,96.56,110,152,11748.18,31.22,0,8,163,6036
10,80.47,112,154,11844.74,31.38,0,8,162,6079
10,96.56,109,151,11925.21,31.06,0,8,162,6124
10,80.47,107,148,12021.77,30.9,0,8,163,6167
10,80.47,107,148,12102.24,31.06,0,8,97,6209
10,96.56,107,148,12182.7,31.06,0,8,163,6252
10,80.47,110,151,12279.26,31.22,0,8,161,6294
10,80.47,114,156,12359.73,31.54,0,8,161,6338
10,96.56,116,159,12456.29,31.7,0,8,159,6383
10,80.47,114,156,12536.76,31.54,0,8,162,6429
10,96.56,111,153,12617.23,31.38,0,8,164,6474
10,80.47,108,149,12713.79,31.06,0,8,114,6518
10,96.56,108,150,12794.25,31.06,0,8,164,6561
10,80.47,108,149,12890.81,31.06,0,8,164,6604
10,80.47,108,149,12971.28,31.06,0,8,99,6647
10,96.56,108,149,13051.75,31.06,0,8,149,6690
10,80.47,108,150,13148.31,31.06,0,8,131,6732
10,80.47,113,155,13228.77,31.54,0,8,162,6775
10,96.56,109,150,13309.24,31.06,0,8,162,6820
10,80.47,109,151,13405.8,31.22,0,8,81,6863
10,96.56,111,153,13486.27,31.38,0,8,164,6907
10,80.47,112,154,13582.83,31.38,0,8,49,6951
10,80.47,111,153,13663.3,31.38,0,8,95,6995
10,96.56,110,152,13743.76,31.38,0,8,163,7039
10,80.47,111,153,13840.32,31.38,0,8,164,7083
10,96.56,109,150,13920.79,31.22,0,8,165,7127
10,80.47,110,152,14017.35,31.22,0,8,114,7170
10,80.47,112,154,14097.82,31.38,0,8,131,7214
10,96.56,112,155,14178.29,31.38,0,8,131,7258
10,80.47,114,156,14274.85,31.54,0,8,147,7303
10,96.56,111,152,14355.31,31.38,0,8,163,7348
10,80.47,111,153,14451.87,31.38,0,8,164,7392
10,96.56,112,154,14532.34,31.38,0,8,164,7436
10,80.47,115,158,14628.9,31.7,0,8,99,7480
10,80.47,110,110,14709.37,27.52,0,5,50,7526
10,80.47,105,97,14773.74,26.39,0,4,164,7569
10,80.47,103,95,14854.21,26.23,0,4,161,7611
10,64.37,104,96,14918.58,26.39,0,4,158,7652
10,80.47,106,98,14999.05,26.55,0,4,47,7693
10,64.37,106,98,15063.42,26.39,0,4,91,7735
10,80.47,105,97,15143.89,26.39,0,4,149,7777
10,64.37,105,97,15224.36,26.39,0,4,119,7819
10,80.47,106,98,15288.73,26.55,0,4,104,7861
10,80.47,106,98,15369.2,26.55,0,4,149,7903
10,64.37,107,99,15433.57,26.55,0,4,151,7945
10,80.47,106,98,15514.04,26.55,0,4,150,7987
10,64.37,105,97,15578.41,26.39,0,4,149,8029
10,80.47,104,96,15658.88,26.39,0,4,133,8071
10,64.37,105,97,15739.35,26.39,0,4,102,8112
10,80.47,106,98,15803.72,26.55,0,4,74,8154
10,80.47,106,98,15884.19,26.39,0,4,149,8196
10,64.37,104,96,15948.56,26.23,0,4,146,8238
10,80.47,105,97,16029.03,26.39,0,4,144,8279
10,64.37,104,96,16093.4,26.23,0,4,144,8320
10,80.47,105,97,16173.87,26.39,0,4,143,8362
10,64.37,105,97,16238.24,26.39,0,4,143,8403
10,80.47,105,97,16318.71,26.39,0,4,141,8445
10,64.37,104,96,16399.17,26.23,0,4,142,8486
10,80.47,102,94,16463.55,26.07,0,4,142,8528
10,80.47,103,95,16544.02,26.23,0,4,99,8568
10,64.37,110,102,16608.39,26.88,0,4,0,8609
10,80.47,106,98,16688.86,26.55,0,4,87,8653
10,64.37,104,96,16753.23,26.23,0,4,143,8695
10,80.47,104,96,16833.7,26.39,0,4,143,8736
10,64.37,107,131,16914.16,29.45,0,7,144,8778
10,96.56,109,150,16994.63,31.06,0,8,145,8820
10,80.47,110,151,17075.1,31.22,0,8,147,8863
10,80.47,110,151,17171.66,31.22,0,8,151,8907
10,96.56,108,149,17252.12,31.06,0,8,153,8950
10,80.47,109,150,17348.69,31.22,0,8,155,8993
10,80.47,107,148,17429.15,30.9,0,8,158,9036
10,96.56,108,149,17509.62,31.06,0,8,158,9079
10,80.47,110,151,17606.18,31.22,0,8,158,9121
10,80.47,109,151,17686.65,31.22,0,8,157,9165
10,96.56,109,151,17767.11,31.22,0,8,157,9208
10,80.47,110,151,17863.67,31.22,0,8,143,9252
10,96.56,111,152,17944.14,31.38,0,8,33,9295
10,80.47,107,148,18040.7,31.06,0,8,162,9339
10,80.47,108,150,18121.17,31.06,0,8,48,9381
10,96.56,108,149,18201.64,31.06,0,8,144,9425
10,80.47,108,149,18298.2,31.06,0,8,159,9467
10,80.47,113,155,18378.66,31.54,0,8,159,9510
10,96.56,111,152,18459.13,31.38,0,8,125,9555
10,80.47,110,152,18555.69,31.22,0,8,61,9599
10,96.56,113,156,18636.16,31.54,0,8,80,9642
10,80.47,115,157,18732.72,31.7,0,8,114,9687
10,96.56,114,157,18813.18,31.54,0,8,131,9733
10,80.47,115,158,18909.74,31.7,0,8,168,9778
10,96.56,113,155,18990.21,31.54,0,8,168,9824
10,80.47,110,152,19086.77,31.22,0,8,168,9868
10,80.47,110,152,19167.24,31.38,0,8,168,9912
10,96.56,111,153,19247.71,31.38,0,8,166,9956
10,80.47,111,153,19344.27,31.38,0,8,149,10000
10,96.56,114,156,19424.73,31.54,0,8,66,10044
10,80.47,113,155,19521.29,31.54,0,8,162,10089
10,80.47,111,153,19601.76,31.38,0,8,163,10134
10,96.56,110,152,19682.23,31.22,0,8,152,10178
10,80.47,109,150,19778.79,31.06,0,8,166,10221
10,96.56,109,151,19859.26,31.22,0,8,165,10265
10,80.47,110,151,19955.82,31.22,0,8,165,10308
10,80.47,109,150,20036.28,31.22,0,8,165,10351
10,96.56,110,152,20116.75,31.22,0,8,99,10395
10,80.47,108,149,20213.31,31.06,0,8,165,10438
10,96.56,109,150,20293.78,31.22,0,8,167,10481
10,80.47,108,149,20374.24,31.06,0,8,167,10524
10,80.47,108,150,20470.8,31.06,0,8,166,10567
10,96.56,109,150,20551.27,31.22,0,8,166,10610
10,80.47,107,148,20647.83,30.9,0,8,166,10653
10,80.47,108,149,20728.3,31.06,0,8,163,10695
10,96.56,108,149,20808.77,31.06,0,8,162,10738
10,80.47,114,157,20905.33,31.54,0,8,147,10781
10,96.56,115,157,20985.79,31.7,0,8,131,10826
10,80.47,110,152,21082.35,31.22,0,8,0,10872
10,80.47,112,154,21162.82,31.38,0,8,0,10915
10,96.56,115,158,21243.29,31.7,0,8,0,10960
10,80.47,116,159,21339.85,31.7,0,8,0,11006
10,96.56,113,155,21420.32,31.54,0,8,0,11051
10,80.47,115,158,21516.88,31.7,0,8,0,11096
10,96.56,117,160,21597.34,31.86,0,8,0,11142
10,80.47,114,156,21693.9,31.54,0,8,0,11188
10,96.56,114,156,21774.37,31.54,0,8,0,11233
10,80.47,116,158,21870.93,31.7,0,8,0,11279
10,96.56,112,154,21951.4,31.38,0,8,0,11324
10,80.47,115,157,22031.86,31.7,0,8,0,11369
10,80.47,114,156,22128.42,31.54,0,8,0,11414
10,96.56,114,156,22208.89,31.54,0,8,0,11460
10,80.47,112,154,22305.45,31.38,0,8,0,11505
10,96.56,112,154,22385.92,31.54,0,8,0,11549
10,80.47,112,154,22482.48,31.38,0,8,0,11593
10,96.56,113,155,22562.95,31.54,0,8,0,11638
10,80.47,116,159,22659.51,31.7,0,8,0,11683
10,96.56,115,157,22739.97,31.7,0,8,0,11729
10,80.47,113,155,22836.53,31.54,0,8,0,11774
10,80.47,113,155,22917,31.54,0,8,0,11819
10,96.56,117,159,22997.47,31.86,0,8,0,11864
10,80.47,112,154,23094.03,31.38,0,8,0,11910
10,96.56,110,152,23174.5,31.22,0,8,0,11954
10,80.47,111,153,23271.06,31.38,0,8,0,11998
10,96.56,112,154,23351.52,31.38,0,8,0,12042
10,80.47,114,156,23448.08,31.54,0,8,34,12086
10,80.47,113,155,23528.55,31.54,0,8,172,12131
10,96.56,110,152,23609.02,31.22,0,8,170,12176
10,80.47,111,153,23705.58,31.38,0,8,85,12219
10,96.56,111,153,23786.05,31.38,0,8,134,12263
10,80.47,112,154,23882.61,31.38,0,8,132,12308
10,80.47,112,154,23963.07,31.38,0,8,152,12352
10,96.56,114,156,24043.54,31.54,0,8,171,12396
10,80.47,112,154,24140.1,31.54,0,8,171,12442
10,96.56,108,150,24220.57,31.06,0,8,171,12486
10,80.47,109,150,24317.13,31.22,0,8,170,12529
10,96.56,107,149,24397.59,31.06,0,8,170,12572
10,80.47,110,152,24478.06,31.22,0,8,169,12615
10,80.47,112,154,24574.62,31.38,0,8,169,12659
10,96.56,109,151,24655.09,31.22,0,8,170,12703
10,80.47,110,152,24751.65,31.22,0,8,169,12746
10,80.47,110,151,24832.12,31.22,0,8,168,12790
10,96.56,110,151,24912.58,31.22,0,8,117,12833
10,80.47,109,150,25009.14,31.22,0,8,172,12877
10,96.56,112,153,25089.61,31.38,0,8,170,12920
10,80.47,112,154,25186.17,31.38,0,8,169,12964
10,80.47,112,154,25266.64,31.38,0,8,170,13009
10,96.56,112,154,25347.1,31.38,0,8,169,13053
10,80.47,113,155,25443.67,31.54,0,8,119,13098
10,96.56,110,152,25524.13,31.22,0,8,169,13142
10,80.47,109,150,25620.69,31.22,0,8,170,13186
10,96.56,113,155,25701.16,31.54,0,8,170,13229
10,80.47,109,150,25781.63,31.06,0,8,118,13274
10,80.47,112,155,25878.19,31.54,0,8,135,13317
10,96.56,116,159,25958.65,31.7,0,8,153,13362
10,80.47,114,156,26055.21,31.54,0,8,103,13408
10,96.56,110,152,26135.68,31.22,0,8,173,13453
10,80.47,112,154,26232.24,31.38,0,8,104,13497
10,80.47,111,153,26312.71,31.38,0,8,52,13541
10,96.56,112,155,26393.18,31.54,0,8,0,13585
10,80.47,115,157,26489.74,31.7,0,8,0,13630
10,96.56,112,154,26570.2,31.38,0,8,85,13675
10,80.47,112,154,26666.76,31.54,0,8,170,13720
10,96.56,112,154,26747.23,31.38,0,8,171,13764
10,80.47,113,155,26843.79,31.54,0,8,170,13809
10,96.56,112,154,26924.26,31.38,0,8,171,13853
10,80.47,109,151,27004.73,31.22,0,8,170,13898
10,80.47,110,152,27101.29,31.22,0,8,153,13941
10,96.56,114,156,27181.75,31.54,0,8,120,13985
10,80.47,111,153,27278.31,31.38,0,8,105,14030
10,96.56,107,117,27358.78,28.16,0,5,34,14074
10,64.37,101,93,27423.15,25.91,0,4,170,14116
10,80.47,100,92,27503.62,25.91,0,4,135,14156
10,64.37,98,101,27567.99,26.88,0,5,115,14196
10,80.47,101,105,27648.46,27.2,0,5,163,14235
10,80.47,100,104,27728.93,27.2,0,5,163,14275
10,64.37,100,104,27809.4,27.2,0,5,163,14314
10,80.47,100,104,27873.77,27.2,0,5,33,14354
10,80.47,101,105,27954.24,27.2,0,5,0,14394
10,64.37,99,103,28034.7,27.04,0,5,110,14434
10,80.47,99,103,28099.08,27.04,0,5,158,14473
10,80.47,100,104,28179.54,27.2,0,5,161,14512
10,64.37,100,104,28260.01,27.2,0,5,159,14552
10,80.47,101,105,28324.38,27.2,0,5,157,14592
10,80.47,102,106,28404.85,27.36,0,5,156,14632
10,80.47,102,106,28485.32,27.36,0,5,159,14672
10,64.37,100,104,28549.69,27.2,0,5,154,14713
10,80.47,100,104,28630.16,27.2,0,5,150,14752
10,80.47,99,103,28710.63,27.04,0,5,151,14792
10,64.37,98,102,28775,26.88,0,5,150,14831
10,80.47,99,103,28855.47,27.04,0,5,137,14870
10,80.47,99,103,28935.93,27.04,0,5,152,14909
10,64.37,99,103,29000.31,27.04,0,5,152,14949
10,80.47,99,103,29080.77,27.04,0,5,150,14988
10,80.47,99,103,29161.24,27.04,0,5,134,15027
10,64.37,98,102,29225.61,27.04,0,5,45,15067
10,80.47,97,101,29306.08,26.88,0,5,149,15106
10,80.47,95,99,29386.55,26.55,0,5,152,15144
10,64.37,97,101,29450.92,26.88,0,5,153,15182
10,80.47,98,102,29531.39,27.04,0,5,153,15220
10,64.37,95,99,29611.86,26.55,0,5,149,15259
0,16.09,92,96,29660.14,26.23,0,5,147,15297
